"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2013-2014",41,253.1,257.42,151.96,105.46,62.88,61.02,36.02,8.54,5.13,3.41,62.47,2.02,1.22,12.52,6.73,5.79,65.04,2.97,1.6,7,11,4,6.02,91,97.02
"ARI","2013-2014",41,224.72,216.83,130.1,86.73,62.5,57.89,34.74,11.05,2.4,8.65,82.16,2.95,0.64,9.74,4.73,5.01,67.31,2.6,1.26,15,13,-2,9.66,96.76,106.42
"BOS","2013-2014",41,177.83,165.87,101.53,64.34,62.03,55.96,34.26,8.53,2.28,6.25,78.91,2.88,0.77,7.61,4.24,3.37,64.22,2.57,1.43,7,2,-5,9.78,96.68,106.46
"BUF","2013-2014",41,220.65,163.9,126.59,37.31,56.42,44.57,34.42,7.67,6.94,0.73,52.5,2.09,1.89,7.54,5.37,2.17,58.4,2.05,1.46,6,3,-3,8.16,89.7,97.86
"CAR","2013-2014",41,244.47,234.8,187.85,46.95,55.55,57.63,46.1,7.78,7,0.78,52.64,1.91,1.72,10.27,11.54,-1.27,47.09,2.52,2.83,13,14,1,6.59,92.19,98.78
"CBJ","2013-2014",41,227.32,198.98,99.9,99.08,66.58,52.52,26.37,11.33,7,4.33,61.81,2.99,1.85,8.72,2.82,5.9,75.56,2.3,0.74,9,7,-2,9.94,88.6,98.54
"CGY","2013-2014",41,194.8,150.99,98.77,52.22,60.45,46.51,30.42,7.26,11.46,-4.2,38.78,2.24,3.53,7.91,4.75,3.16,62.48,2.44,1.46,12,5,-7,8.71,81.68,90.39
"CHI","2013-2014",41,237.92,203.5,149.46,54.04,57.66,51.32,37.69,9.4,2.17,7.23,81.24,2.37,0.55,8.07,9.16,-1.09,46.84,2.04,2.31,12,5,-7,8.52,97.74,106.26
"COL","2013-2014",41,224.4,171.8,133.32,38.48,56.31,45.94,35.65,9.07,2.43,6.64,78.87,2.43,0.65,8.66,5.22,3.44,62.39,2.32,1.4,7,6,-1,8.45,97.29,105.74
"DAL","2013-2014",41,269.5,248.76,268.43,-19.67,48.1,55.38,59.76,8.27,2.54,5.73,76.5,1.84,0.57,11.33,13.03,-1.7,46.51,2.52,2.9,10,6,-4,6.21,98.09,104.3
"DET","2013-2014",41,239.15,202.99,112.25,90.74,64.39,50.93,28.16,8.95,6.85,2.1,56.65,2.25,1.72,9.31,6.63,2.68,58.41,2.34,1.66,12,7,-5,7.54,89.64,97.19
"EDM","2013-2014",41,243.01,204.02,181.39,22.63,52.94,50.37,44.79,12.3,14.7,-2.4,45.56,3.04,3.63,11.51,9.64,1.87,54.42,2.84,2.38,12,8,-4,10.81,86.44,97.25
"FLA","2013-2014",41,218.29,160.98,149.88,11.1,51.79,44.25,41.2,5.88,0,5.88,100,1.62,0,6.54,4.95,1.59,56.92,1.8,1.36,7,9,2,6.97,100,106.97
"L.A","2013-2014",41,264.91,238.45,128.6,109.85,64.96,54.01,29.13,8.54,7.12,1.42,54.53,1.93,1.61,11.36,7.3,4.06,60.88,2.57,1.65,13,3,-10,7.37,90.46,97.82
"MIN","2013-2014",41,223.72,175.42,133.73,41.69,56.74,47.05,35.87,7.87,2.36,5.51,76.93,2.11,0.63,8.01,5.59,2.42,58.9,2.15,1.5,4,3,-1,8.79,96.75,105.54
"MTL","2013-2014",41,235.62,212.82,206.43,6.39,50.76,54.19,52.57,7.41,9.17,-1.76,44.69,1.89,2.34,9.74,8.76,0.98,52.65,2.48,2.23,7,6,-1,6.79,92.81,99.6
"N.J","2013-2014",41,210.81,142.32,122.97,19.35,53.65,40.51,35,7.58,9.53,-1.95,44.3,2.16,2.71,6.37,7.79,-1.42,44.99,1.81,2.22,7,7,0,9.12,87.89,97.01
"NSH","2013-2014",41,192.3,149.77,89.81,59.96,62.51,46.73,28.02,8.25,0,8.25,100,2.57,0,7.15,2.84,4.31,71.57,2.23,0.89,3,6,3,9.06,100,109.06
"NYI","2013-2014",41,235.8,216.84,125.52,91.32,63.34,55.18,31.94,8.91,9.63,-0.72,48.06,2.27,2.45,10.81,8.23,2.58,56.78,2.75,2.09,7,4,-3,7.48,87.78,95.26
"NYR","2013-2014",41,221.62,222.81,160.64,62.17,58.11,60.32,43.49,6.7,12.09,-5.39,35.66,1.81,3.27,9.8,11.93,-2.13,45.1,2.65,3.23,11,11,0,6.37,87.58,93.95
"OTT","2013-2014",41,222.89,190.19,207.08,-16.89,47.87,51.2,55.74,6.05,13.81,-7.76,30.46,1.63,3.72,8.43,11.66,-3.23,41.96,2.27,3.14,7,1,-6,6.37,89.16,95.53
"PHI","2013-2014",41,264.5,243.84,239.58,4.26,50.44,55.31,54.35,8.5,11.62,-3.12,42.25,1.93,2.64,11.07,12.04,-0.97,47.9,2.51,2.73,15,10,-5,6.99,90.95,97.94
"PIT","2013-2014",41,218.02,205.45,122.26,83.19,62.69,56.54,33.65,11.2,7.89,3.31,58.67,3.08,2.17,8.63,4.1,4.53,67.79,2.38,1.13,11,10,-1,9.22,88.19,97.42
"S.J","2013-2014",41,268.42,277.01,203.94,73.07,57.6,61.92,45.59,9.64,4.73,4.91,67.08,2.15,1.06,13.84,8.72,5.12,61.35,3.09,1.95,11,8,-3,6.24,95.41,101.65
"STL","2013-2014",41,245.27,204.82,119.53,85.29,63.15,50.1,29.24,10.04,9.35,0.69,51.78,2.46,2.29,8.32,5.66,2.66,59.51,2.04,1.38,13,9,-4,9.23,86.17,95.41
"T.B","2013-2014",41,227.62,168.98,131.36,37.62,56.26,44.54,34.63,9.14,4.71,4.43,65.99,2.41,1.24,6.97,4.71,2.26,59.67,1.84,1.24,12,3,-9,9.8,92.5,102.3
"TOR","2013-2014",41,195.03,174.51,183.06,-8.55,48.8,53.69,56.32,11.02,2.36,8.66,82.36,3.39,0.73,8.48,5.7,2.78,59.8,2.61,1.75,7,4,-3,10.59,98.02,108.61
"VAN","2013-2014",41,223.3,203.21,107,96.21,65.51,54.6,28.75,6.47,9.47,-3,40.59,1.74,2.54,8.1,6.78,1.32,54.44,2.18,1.82,11,3,-8,5.55,86.18,91.73
"WPG","2013-2014",41,245.97,224.24,135.9,88.34,62.26,54.7,33.15,9.2,14,-4.8,39.66,2.24,3.42,10.76,7.6,3.16,58.61,2.62,1.85,17,10,-7,7.52,82.98,90.5
