"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2014-2015",41,199.68,6.53,97.09,4.8,98.06,6.01,94.61,-1.21,3.45,103.62,100.62,3.01,183,15,36,78.21,6.41,15.38,0.92,51.28
"ARI","2014-2015",41,196.74,7.13,90.97,4.75,92.77,5.93,93.83,-1.19,-1.06,98.11,99.76,-1.66,168,14,44,74.34,6.19,19.47,0.92,57.52
"BOS","2014-2015",41,176.25,8.56,94.05,6.02,95.17,6,93.79,0.02,1.38,102.61,99.79,2.82,167,9,39,77.67,4.19,18.14,0.95,56.28
"BUF","2014-2015",41,195.6,8.06,91.26,5.84,92.46,6.35,93.23,-0.51,-0.77,99.33,99.59,-0.26,156,22,42,70.91,10,19.09,0.88,49.55
"CAR","2014-2015",41,191.05,8.01,95.32,5.77,96.74,6.96,94.87,-1.19,1.87,103.33,101.83,1.5,174,14,33,78.73,6.33,14.93,0.93,58.82
"CBJ","2014-2015",41,208.34,11.15,88.84,8.28,91.36,7.18,93.16,1.1,-1.8,99.98,100.34,-0.35,184,13,45,76.03,5.37,18.6,0.93,54.55
"CGY","2014-2015",41,228.4,8.42,92.85,6.12,95.18,6.62,95.5,-0.49,-0.32,101.27,102.12,-0.85,203,13,41,78.99,5.06,15.95,0.94,53.31
"CHI","2014-2015",41,228.93,6.61,86.02,5.03,88.61,5.99,93.45,-0.96,-4.84,92.63,99.44,-6.81,195,8,46,78.31,3.21,18.47,0.96,54.62
"COL","2014-2015",41,208.31,5.99,100,4.26,100,5.04,95.24,-0.78,4.76,105.99,100.28,5.72,182,16,29,80.18,7.05,12.78,0.92,53.3
"DAL","2014-2015",41,272.92,7.75,91.95,5.35,94.21,6.01,91.69,-0.66,2.52,99.7,97.7,2,248,21,52,77.26,6.54,16.2,0.92,55.45
"DET","2014-2015",41,240.54,13.05,94.62,9.65,96.02,7.98,94.66,1.67,1.36,107.67,102.64,5.03,215,13,40,80.22,4.85,14.93,0.94,58.96
"EDM","2014-2015",41,202.1,8.12,81.95,6.03,87.28,6.4,93.31,-0.37,-6.03,90.06,99.71,-9.64,196,6,41,80.66,2.47,16.87,0.97,46.5
"FLA","2014-2015",41,227.65,6.54,89.32,5.1,91.94,5.76,93,-0.67,-1.05,95.86,98.76,-2.9,211,14,46,77.86,5.17,16.97,0.94,57.56
"L.A","2014-2015",41,220.7,10.14,100,6.67,100,5.54,94.73,1.13,5.27,110.14,100.28,9.86,197,13,32,81.4,5.37,13.22,0.94,54.96
"MIN","2014-2015",41,228.51,8.25,97.36,6.38,98.16,6.13,94.66,0.25,3.5,105.61,100.79,4.82,203,12,37,80.56,4.76,14.68,0.94,53.57
"MTL","2014-2015",41,200.88,9.45,92.38,6.93,94.19,5.85,92.2,1.08,2,101.83,98.04,3.79,169,12,31,79.72,5.66,14.62,0.93,55.19
"N.J","2014-2015",41,181.01,10.58,93.64,7.62,95.02,6.98,92.62,0.64,2.39,104.22,99.61,4.61,154,11,37,76.24,5.45,18.32,0.93,53.96
"NSH","2014-2015",41,221.1,6.27,88.34,4.52,91.5,5.2,94.96,-0.68,-3.46,94.61,100.16,-5.55,192,8,48,77.42,3.23,19.35,0.96,46.77
"NYI","2014-2015",41,227.1,8.82,94.4,6.6,95.48,8.18,90.25,-1.58,5.23,103.22,98.43,4.8,194,8,34,82.2,3.39,14.41,0.96,57.2
"NYR","2014-2015",41,199.4,6.43,94.06,4.77,94.73,6.61,92.32,-1.84,2.41,100.49,98.93,1.56,173,10,43,76.55,4.42,19.03,0.95,56.19
"OTT","2014-2015",41,252.95,6.64,95.69,4.56,97.03,5.98,92.47,-1.42,4.57,102.33,98.44,3.89,220,15,64,73.58,5.02,21.4,0.94,53.85
"PHI","2014-2015",41,202,11.41,92.4,8.62,93.6,7.43,95.31,1.18,-1.7,103.81,102.74,1.07,184,12,44,76.67,5,18.33,0.94,57.92
"PIT","2014-2015",41,223.33,8.27,85.17,6.45,88.27,6.49,92.89,-0.04,-4.62,93.43,99.38,-5.95,197,14,40,78.49,5.58,15.94,0.93,56.57
"S.J","2014-2015",41,207.01,9.15,92.02,6.77,94.36,6.72,93.16,0.05,1.2,101.17,99.88,1.29,203,20,44,76.03,7.49,16.48,0.91,59.18
"STL","2014-2015",41,216.78,8.89,92.34,6.29,94.82,5.44,95.38,0.85,-0.56,101.23,100.81,0.42,177,22,39,74.37,9.24,16.39,0.89,61.76
"T.B","2014-2015",41,221.8,11.92,92.91,8.23,95.31,5.05,95.31,3.19,0,104.84,100.36,4.48,177,12,40,77.29,5.24,17.47,0.94,58.08
"TOR","2014-2015",41,236,9.68,90.28,6.73,91.5,6.56,95.41,0.17,-3.91,99.95,101.97,-2.02,203,14,55,74.63,5.15,20.22,0.94,52.21
"VAN","2014-2015",41,216.3,9.25,97.52,6.81,97.95,6.26,94.11,0.56,3.85,106.77,100.36,6.41,183,21,29,78.54,9.01,12.45,0.9,52.36
"WPG","2014-2015",41,216.3,9.28,97.07,6.4,97.82,7.23,93.64,-0.83,4.17,106.35,100.87,5.48,181,13,42,76.69,5.51,17.8,0.93,52.54
"WSH","2014-2015",41,190.39,10.58,94.32,7.38,95.69,5.23,95.2,2.15,0.49,104.9,100.43,4.46,196,5,42,80.66,2.06,17.28,0.98,60.08
