"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2017-2018",24,127.12,107,32,5,74.31,3.47,22.22,0.96,87,57,60.42,26,8,12.27,3.78,13,29,-16,6.14,13.69
"ARI","2017-2018",22,111.75,99,23,8,76.15,6.15,17.69,0.93,65,65,50,16,4,8.59,2.15,5,25,-20,2.68,13.42
"BOS","2017-2018",24,130.63,106,37,10,69.28,6.54,24.18,0.91,92,61,60.13,39,5,17.91,2.3,11,28,-17,5.05,12.86
"BUF","2017-2018",21,118.15,107,31,10,72.3,6.76,20.95,0.91,85,63,57.43,17,6,8.63,3.05,10,17,-7,5.08,8.63
"CAR","2017-2018",21,128.95,119,14,9,83.8,6.34,9.86,0.93,82,50,62.12,22,26,10.24,12.1,8,24,-16,3.72,11.17
"CBJ","2017-2018",24,120.62,91,18,4,80.53,3.54,15.93,0.96,63,50,55.75,19,3,9.45,1.49,8,22,-14,3.98,10.94
"CGY","2017-2018",24,132.77,111,30,3,77.08,2.08,20.83,0.97,79,65,54.86,24,11,10.85,4.97,4,5,-1,1.81,2.26
"CHI","2017-2018",23,155.97,118,28,6,77.63,3.95,18.42,0.95,85,67,55.92,10,6,3.85,2.31,6,36,-30,2.31,13.85
"COL","2017-2018",26,161.07,132,34,6,76.74,3.49,19.77,0.96,79,93,45.93,24,3,8.94,1.12,5,24,-19,1.86,8.94
"DAL","2017-2018",23,122.3,119,26,6,78.81,3.97,17.22,0.95,98,53,64.9,27,2,13.25,0.98,4,15,-11,1.96,7.36
"DET","2017-2018",25,127.48,107,27,5,76.98,3.6,19.42,0.96,84,55,60.43,19,6,8.94,2.82,7,16,-9,3.29,7.53
"EDM","2017-2018",23,122.42,107,15,4,84.92,3.17,11.9,0.96,67,59,53.17,33,13,16.17,6.37,14,20,-6,6.86,9.8
"FLA","2017-2018",21,116.92,96,36,9,68.09,6.38,25.53,0.91,76,65,53.9,30,7,15.4,3.59,7,17,-10,3.59,8.72
"L.A","2017-2018",24,123.65,116,19,7,81.69,4.93,13.38,0.94,92,50,64.79,17,1,8.25,0.49,11,35,-24,5.34,16.98
"MIN","2017-2018",24,118,106,22,2,81.54,1.54,16.92,0.98,74,56,56.92,14,7,7.12,3.56,5,12,-7,2.54,6.1
"MTL","2017-2018",25,121.05,106,22,7,78.52,5.19,16.3,0.94,73,62,54.07,9,6,4.46,2.97,21,22,-1,10.41,10.9
"N.J","2017-2018",22,118.08,99,20,8,77.95,6.3,15.75,0.93,78,49,61.42,24,9,12.19,4.57,10,26,-16,5.08,13.21
"NSH","2017-2018",22,125.93,100,31,2,75.19,1.5,23.31,0.98,74,59,55.64,27,6,12.86,2.86,4,20,-16,1.91,9.53
"NYI","2017-2018",23,119,95,23,5,77.24,4.07,18.7,0.95,71,52,57.72,30,7,15.13,3.53,6,15,-9,3.03,7.56
"NYR","2017-2018",28,153.53,134,20,15,79.29,8.88,11.83,0.9,85,84,50.3,62,13,24.23,5.08,7,32,-25,2.74,12.51
"OTT","2017-2018",24,134.82,114,28,5,77.55,3.4,19.05,0.96,80,67,54.42,29,10,12.91,4.45,13,20,-7,5.79,8.9
"PHI","2017-2018",25,128.37,117,24,6,79.59,4.08,16.33,0.95,87,60,59.18,21,6,9.82,2.8,11,13,-2,5.14,6.08
"PIT","2017-2018",23,142.1,117,24,9,78,6,16,0.93,80,70,53.33,28,8,11.82,3.38,13,31,-18,5.49,13.09
"S.J","2017-2018",22,131.32,115,25,11,76.16,7.28,16.56,0.91,88,63,58.28,39,14,17.82,6.4,9,22,-13,4.11,10.05
"STL","2017-2018",25,142.12,126,26,3,81.29,1.94,16.77,0.98,80,75,51.61,8,7,3.38,2.96,5,19,-14,2.11,8.02
"T.B","2017-2018",23,137.47,119,25,6,79.33,4,16.67,0.95,85,65,56.67,30,4,13.09,1.75,3,15,-12,1.31,6.55
"TOR","2017-2018",22,115.82,102,16,3,84.3,2.48,13.22,0.97,58,63,47.93,20,6,10.36,3.11,6,24,-18,3.11,12.43
"VAN","2017-2018",21,118.85,93,18,7,78.81,5.93,15.25,0.93,64,54,54.24,17,3,8.58,1.51,6,11,-5,3.03,5.55
"VGK","2017-2018",22,114.03,95,17,3,82.61,2.61,14.78,0.97,65,50,56.52,35,11,18.42,5.79,14,13,1,7.37,6.84
"WPG","2017-2018",21,112.52,107,27,7,75.89,4.96,19.15,0.94,84,57,59.57,10,8,5.33,4.27,7,15,-8,3.73,8
"WSH","2017-2018",26,134.55,114,24,5,79.72,3.5,16.78,0.96,72,71,50.35,22,15,9.81,6.69,9,14,-5,4.01,6.24
