"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2015-2016",41,202.4,398,27,371,93.65,117.98,8,26,1,25,96.3,7.71,0.3,29.8,1.39,28.41,95.54,8.83,0.41,4,7,3,13.13,92.31,105.44
"ARI","2015-2016",41,255.25,474,57,417,89.27,111.42,13.4,35,3,32,92.11,8.23,0.71,31.29,3.2,28.09,90.72,7.36,0.75,20,11,-9,14.06,92.86,106.91
"BOS","2015-2016",41,188.34,374,41,333,90.12,119.15,13.06,26,1,25,96.3,8.28,0.32,21.86,2.31,19.55,90.44,6.96,0.74,6,3,-3,13.13,96.67,109.8
"BUF","2015-2016",41,228.5,371,44,327,89.4,97.42,11.55,27,2,25,93.1,7.09,0.53,22.79,3.54,19.25,86.56,5.98,0.93,4,7,3,12.22,92,104.22
"CAR","2015-2016",41,187.35,338,28,310,92.35,108.25,8.97,21,3,18,87.5,6.73,0.96,23.62,1.64,21.98,93.51,7.56,0.53,7,6,-1,12.65,81.25,93.9
"CBJ","2015-2016",41,212.23,323,52,271,86.13,91.32,14.7,22,4,18,84.62,6.22,1.13,27.6,4.07,23.53,87.15,7.8,1.15,9,4,-5,11.58,88.57,100.15
"CGY","2015-2016",41,217.58,349,32,317,91.6,96.24,8.82,22,4,18,84.62,6.07,1.1,20.94,2.56,18.38,89.11,5.77,0.71,6,5,-1,12.72,80.95,93.67
"CHI","2015-2016",41,205.27,314,27,287,92.08,91.78,7.89,29,2,27,93.55,8.48,0.58,20.62,1.68,18.94,92.47,6.03,0.49,8,4,-4,16.48,90.91,107.39
"COL","2015-2016",41,215.75,322,44,278,87.98,89.55,12.24,26,2,24,92.86,7.23,0.56,19.13,3.37,15.76,85.02,5.32,0.94,8,6,-2,14.44,94.44,108.89
"DAL","2015-2016",41,228.6,415,44,371,90.41,108.92,11.55,29,8,21,78.38,7.61,2.1,28.49,4.49,24,86.39,7.48,1.18,6,5,-1,13.36,73.33,86.7
"DET","2015-2016",41,222.99,341,35,306,90.69,91.75,9.42,21,2,19,91.3,5.65,0.54,23.92,2.71,21.21,89.82,6.44,0.73,18,7,-11,11.35,92.31,103.66
"EDM","2015-2016",41,224.34,391,37,354,91.36,104.57,9.9,22,2,20,91.67,5.88,0.53,26.32,2.86,23.46,90.2,7.04,0.76,5,3,-2,10.48,92.59,103.07
"FLA","2015-2016",41,247.29,396,44,352,90,96.08,10.68,29,3,26,90.62,7.04,0.73,31.28,3.31,27.97,90.43,7.59,0.8,10,9,-1,12.29,88.89,101.18
"L.A","2015-2016",41,205.16,374,36,338,91.22,109.38,10.53,21,1,20,95.45,6.14,0.29,22.77,1.95,20.82,92.11,6.66,0.57,3,2,-1,11.86,94.44,106.31
"MIN","2015-2016",41,222.98,353,51,302,87.38,94.99,13.72,23,4,19,85.19,6.19,1.08,23.77,3.25,20.52,87.97,6.4,0.87,4,3,-1,12.17,88.24,100.4
"MTL","2015-2016",41,227.35,380,54,326,87.56,100.29,14.25,22,4,18,84.62,5.81,1.06,24.82,3.61,21.21,87.3,6.55,0.95,7,1,-6,11.28,90,101.28
"N.J","2015-2016",41,214.75,288,29,259,90.85,80.47,8.1,21,1,20,95.45,5.87,0.28,19.39,1.46,17.93,93,5.42,0.41,3,7,4,12.96,94.74,107.7
"NSH","2015-2016",41,223.39,313,35,278,89.94,84.07,9.4,27,2,25,93.1,7.25,0.54,24.51,1.51,23,94.2,6.58,0.41,8,11,3,13.64,92,105.64
"NYI","2015-2016",41,197.14,301,31,270,90.66,91.61,9.43,23,2,21,92,7,0.61,27.69,2.46,25.23,91.84,8.43,0.75,8,5,-3,12.85,90.48,103.33
"NYR","2015-2016",41,200.08,339,35,304,90.64,101.66,10.5,25,3,22,89.29,7.5,0.9,21.59,3.15,18.44,87.27,6.47,0.94,2,3,1,13.51,88.89,102.4
"OTT","2015-2016",40,219.83,339,33,306,91.13,92.53,9.01,13,0,13,100,3.55,0,19.7,1.94,17.76,91.04,5.38,0.53,8,5,-3,7.93,100,107.93
"PHI","2015-2016",41,237.2,459,37,422,92.54,116.1,9.36,26,1,25,96.3,6.58,0.25,32.44,2.96,29.48,91.64,8.21,0.75,10,5,-5,10.74,96.3,107.04
"PIT","2015-2016",41,221.98,370,53,317,87.47,100.01,14.33,28,3,25,90.32,7.57,0.81,26.96,4.04,22.92,86.97,7.29,1.09,16,9,-7,13.53,91.43,104.96
