"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2015-2016",41,202.4,13.13,92.31,9,95.45,10.31,93.68,-1.31,1.77,105.44,103.99,1.45,181,14,36,78.35,6.06,15.58,0.93,61.04
"ARI","2015-2016",41,255.25,14.06,92.86,9.8,93.88,8.76,93.47,1.04,0.41,106.91,102.23,4.68,223,16,55,75.85,5.44,18.71,0.93,61.9
"BOS","2015-2016",41,188.34,13.13,96.67,9.19,97.14,7.72,93.4,1.46,3.74,109.8,101.12,8.67,185,11,28,82.59,4.91,12.5,0.94,58.93
"BUF","2015-2016",41,228.5,12.22,92,9.38,94.29,7.91,89.89,1.46,4.4,104.22,97.8,6.42,205,14,42,78.54,5.36,16.09,0.94,60.92
"CAR","2015-2016",41,187.35,12.65,81.25,8.17,86.96,9.19,92.87,-1.02,-5.91,93.9,102.06,-8.16,157,6,33,80.1,3.06,16.84,0.96,60.71
"CBJ","2015-2016",41,212.23,11.58,88.57,8.91,90.7,11.17,90.53,-2.27,0.16,100.15,101.71,-1.56,177,16,41,75.64,6.84,17.52,0.92,57.26
"CGY","2015-2016",41,217.58,12.72,80.95,8.8,84.62,8.38,90.15,0.42,-5.54,93.67,98.53,-4.86,173,13,52,72.69,5.46,21.85,0.93,55.46
"CHI","2015-2016",41,205.27,16.48,90.91,12.29,91.67,8.74,93,3.55,-1.33,107.39,101.74,5.65,160,9,47,74.07,4.17,21.76,0.95,53.24
"COL","2015-2016",41,215.75,14.44,94.44,10.66,95,7.84,91.57,2.82,3.43,108.89,99.42,9.47,190,13,36,79.5,5.44,15.06,0.94,60.25
"DAL","2015-2016",41,228.6,13.36,73.33,9.48,78.38,9.31,87.86,0.17,-9.49,86.7,97.18,-10.48,210,7,53,77.78,2.59,19.63,0.97,51.48
"DET","2015-2016",41,222.99,11.35,92.31,8.08,93.75,9.2,91.53,-1.12,2.22,103.66,100.73,2.93,183,15,29,80.62,6.61,12.78,0.92,54.63
"EDM","2015-2016",41,224.34,10.48,92.59,7.77,93.94,9.3,91.33,-1.53,2.61,103.07,100.63,2.44,199,13,46,77.13,5.04,17.83,0.94,54.26
"FLA","2015-2016",41,247.29,12.29,88.89,9.32,92.11,10.06,91.29,-0.73,0.82,101.18,101.35,-0.17,224,17,52,76.45,5.8,17.75,0.93,61.43
"L.A","2015-2016",41,205.16,11.86,94.44,7.42,96.43,8.05,93.04,-0.63,3.39,106.31,101.08,5.23,178,10,32,80.91,4.55,14.55,0.95,61.82
"MIN","2015-2016",41,222.98,12.17,88.24,8.58,90.7,8.87,92.44,-0.29,-1.74,100.4,101.31,-0.91,190,17,38,77.55,6.94,15.51,0.92,62.45
"MTL","2015-2016",41,227.35,11.28,90,7.97,91.67,8.99,92.48,-1.02,-0.81,101.28,101.47,-0.19,204,11,49,77.27,4.17,18.56,0.95,53.41
"N.J","2015-2016",41,214.75,12.96,94.74,9.17,96.3,8.47,94.59,0.7,1.7,107.7,103.06,4.64,189,7,46,78.1,2.89,19.01,0.96,56.2
"NSH","2015-2016",41,223.39,13.64,92,10.34,92.59,9.39,94.41,0.95,-1.81,105.64,103.8,1.84,190,10,36,80.51,4.24,15.25,0.95,51.27
"NYI","2015-2016",41,197.14,12.85,90.48,10,92,12.04,90.16,-2.04,1.84,103.33,102.2,1.13,172,9,41,77.48,4.05,18.47,0.95,51.8
"NYR","2015-2016",41,200.08,13.51,88.89,9.58,90.91,8.27,90.45,1.31,0.45,102.4,98.73,3.68,180,16,30,79.65,7.08,13.27,0.92,49.56
"OTT","2015-2016",40,219.83,7.93,100,5.37,100,8.14,93.53,-2.77,6.47,107.93,101.67,6.25,186,11,34,80.52,4.76,14.72,0.94,53.68
"PHI","2015-2016",41,237.2,10.74,96.3,7.74,96.97,9.65,91.03,-1.92,5.94,107.04,100.69,6.36,218,11,44,79.85,4.03,16.12,0.95,59.71
"PIT","2015-2016",41,221.98,13.53,91.43,10,93.33,9.63,91.02,0.37,2.31,104.96,100.65,4.3,201,11,52,76.14,4.17,19.7,0.95,55.68
"S.J","2015-2016",41,242.72,12.81,91.43,9.34,92.5,9.44,92.38,-0.11,0.12,104.24,101.82,2.42,220,17,55,75.34,5.82,18.84,0.93,61.3
"STL","2015-2016",41,217.09,18.59,96.88,12.89,97.3,8.23,92.16,4.66,5.14,115.46,100.39,15.08,173,15,55,71.19,6.17,22.63,0.92,53.5
"T.B","2015-2016",41,245.12,15.68,90,10.36,91.89,7.89,94.14,2.47,-2.24,105.68,102.02,3.65,196,9,54,75.68,3.47,20.85,0.96,47.1
"TOR","2015-2016",41,215.19,13.64,86.67,8.25,89.74,9.74,92.92,-1.49,-3.18,100.3,102.66,-2.36,190,22,41,75.1,8.7,16.21,0.9,57.71
"VAN","2015-2016",41,207.7,12.43,92.31,8.94,93.1,8.04,91.69,0.9,1.41,104.73,99.73,5.01,183,14,37,78.21,5.98,15.81,0.93,54.7
"WPG","2015-2016",41,233.3,10.47,96,7.27,96.88,9.37,90.41,-2.09,6.47,106.47,99.77,6.7,183,15,42,76.25,6.25,17.5,0.92,49.17
"WSH","2015-2016",41,207.3,14.65,93.55,9.48,94.59,7.89,93.73,1.59,0.86,108.19,101.62,6.58,202,19,28,81.12,7.63,11.24,0.91,57.83
