"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2015-2016",41,245.49,168.56,195.01,-26.45,46.36,41.2,47.66,4.49,7.65,-3.16,36.99,1.1,1.87,7.07,8.05,-0.98,46.76,1.73,1.97,7,16,9,5.52,92.87,98.4
"ARI","2015-2016",41,259,110.38,223.41,-113.03,33.07,25.57,51.76,2.44,10.36,-7.92,19.06,0.57,2.4,5.37,10.01,-4.64,34.92,1.24,2.32,3,8,5,3.47,91.42,94.89
"BOS","2015-2016",41,248.8,193.38,213.53,-20.15,47.52,46.64,51.49,19.03,7.94,11.09,70.56,4.59,1.91,10.69,8.18,2.51,56.65,2.58,1.97,7,12,5,14.26,91.78,106.04
"BUF","2015-2016",41,188.04,98.74,177.96,-79.22,35.68,31.51,56.78,5.09,7.55,-2.46,40.27,1.62,2.41,5.69,9.18,-3.49,38.26,1.82,2.93,3,6,3,6.57,92.93,99.5
"CAR","2015-2016",41,174.93,91.25,129.79,-38.54,41.28,31.3,44.52,2.49,7.07,-4.58,26.05,0.85,2.42,3.6,6.09,-2.49,37.15,1.23,2.09,1,2,1,5.34,90.29,95.63
"CBJ","2015-2016",41,250.84,140.57,214.4,-73.83,39.6,33.62,51.28,0,9.3,-9.3,0,0,2.22,6.09,9.7,-3.61,38.57,1.46,2.32,9,10,1,0,91.64,91.64
"CGY","2015-2016",41,198.54,140.47,193.87,-53.4,42.01,42.45,58.59,6.56,10.87,-4.31,37.64,1.98,3.28,7.1,9.19,-2.09,43.59,2.15,2.78,6,8,2,8.9,88.61,97.51
"CHI","2015-2016",41,208.26,165.84,189.95,-24.11,46.61,47.78,54.72,14.24,9.77,4.47,59.31,4.1,2.81,10.19,8.81,1.38,53.63,2.94,2.54,2,7,5,14.8,91.77,106.57
"COL","2015-2016",41,220,123.05,213.81,-90.76,36.53,33.56,58.31,7.21,9.84,-2.63,42.29,1.97,2.68,5.88,9.65,-3.77,37.86,1.6,2.63,8,6,-2,9.32,91,100.33
"DAL","2015-2016",41,207.98,130.07,177.59,-47.52,42.28,37.52,51.23,9.42,7.55,1.87,55.51,2.72,2.18,6.46,9.29,-2.83,41.02,1.86,2.68,2,8,6,10.82,91.97,102.8
"DET","2015-2016",41,216.62,90.42,196.83,-106.41,31.48,25.04,54.52,0,9.17,-9.17,0,0,2.54,4.69,8.2,-3.51,36.38,1.3,2.27,8,7,-1,0,90.84,90.84
"EDM","2015-2016",41,212.23,115.12,193.21,-78.09,37.34,32.55,54.62,6.78,9.61,-2.83,41.37,1.92,2.72,5.88,9.06,-3.18,39.36,1.66,2.56,3,2,-1,8.63,91.1,99.73
"FLA","2015-2016",41,220.15,93.88,180.62,-86.74,34.2,25.59,49.23,2.28,8.4,-6.12,21.35,0.62,2.29,5.04,7.69,-2.65,39.59,1.37,2.1,6,10,4,3.81,91.42,95.23
"L.A","2015-2016",41,242.17,123.78,207.56,-83.78,37.36,30.67,51.43,5.01,10.59,-5.58,32.12,1.24,2.62,6.79,10.48,-3.69,39.32,1.68,2.6,10,17,7,6.81,90.37,97.18
"MIN","2015-2016",41,180.68,72.94,154.57,-81.63,32.06,24.22,51.33,6.66,10.15,-3.49,39.62,2.21,3.37,4.6,8.06,-3.46,36.33,1.53,2.68,6,11,5,12.11,88.68,100.79
