"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2015-2016",41,245.49,52,375,-323,12.18,12.71,91.65,2,22,-20,8.33,0.49,5.38,3.01,22.1,-19.09,11.99,0.74,5.4,7,16,9,7.14,89.05,96.2
"ARI","2015-2016",41,259,35,415,-380,7.78,8.11,96.14,1,28,-27,3.45,0.23,6.49,2.22,27.17,-24.95,7.55,0.51,6.29,3,8,5,4,87.16,91.16
"BOS","2015-2016",41,248.8,59,409,-350,12.61,14.23,98.63,8,23,-15,25.81,1.93,5.55,4.41,23.11,-18.7,16.02,1.06,5.57,7,12,5,17.78,87.22,105
"BUF","2015-2016",41,188.04,30,345,-315,8,9.57,110.08,2,22,-20,8.33,0.64,7.02,2.3,27.09,-24.79,7.83,0.73,8.64,3,6,3,7.41,89.11,96.52
"CAR","2015-2016",41,174.93,31,245,-214,11.23,10.63,84.03,1,20,-19,4.76,0.34,6.86,1.61,16.46,-14.85,8.91,0.55,5.65,1,2,1,5.56,85.07,90.63
"CBJ","2015-2016",41,250.84,43,410,-367,9.49,10.29,98.07,0,28,-28,0,0,6.7,2.57,29.64,-27.07,7.98,0.61,7.09,9,10,1,0,86.6,86.6
"CGY","2015-2016",41,198.54,44,359,-315,10.92,13.3,108.49,3,32,-29,8.57,0.91,9.67,3.13,26.61,-23.48,10.52,0.95,8.04,6,8,2,11.54,81.92,93.46
"CHI","2015-2016",41,208.26,50,364,-314,12.08,14.41,104.87,6,28,-22,17.65,1.73,8.07,3.81,24.2,-20.39,13.6,1.1,6.97,2,7,5,18.18,87.33,105.51
"COL","2015-2016",41,220,40,402,-362,9.05,10.91,109.64,3,30,-27,9.09,0.82,8.18,2.49,27.16,-24.67,8.4,0.68,7.41,8,6,-2,10.71,85.22,95.94
"DAL","2015-2016",41,207.98,41,337,-296,10.85,11.83,97.22,4,21,-17,16,1.15,6.06,2.75,25.39,-22.64,9.77,0.79,7.32,2,8,6,12.9,87.86,100.76
"DET","2015-2016",41,216.62,29,379,-350,7.11,8.03,104.98,0,28,-28,0,0,7.76,1.98,23.53,-21.55,7.76,0.55,6.52,8,7,-1,0,85.26,85.26
"EDM","2015-2016",41,212.23,36,368,-332,8.91,10.18,104.04,3,26,-23,10.34,0.85,7.35,2.49,24.74,-22.25,9.14,0.7,6.99,3,2,-1,10.71,86.87,97.58
"FLA","2015-2016",41,220.15,28,349,-321,7.43,7.63,95.12,1,22,-21,4.35,0.27,6,2.06,22.12,-20.06,8.52,0.56,6.03,6,10,4,5,88.04,93.04
"L.A","2015-2016",41,242.17,38,406,-368,8.56,9.41,100.59,2,30,-28,6.25,0.5,7.43,2.77,29.41,-26.64,8.61,0.69,7.29,10,17,7,7.69,85.85,93.54
"MIN","2015-2016",41,180.68,24,300,-276,7.41,7.97,99.62,3,28,-25,9.68,1,9.3,2,23.49,-21.49,7.85,0.66,7.8,6,11,5,15,83.63,98.63
"MTL","2015-2016",40,212.15,42,332,-290,11.23,11.88,93.9,2,27,-25,6.9,0.57,7.64,3.71,26.5,-22.79,12.28,1.05,7.49,2,5,3,8,85.86,93.86
"N.J","2015-2016",41,241.65,48,411,-363,10.46,11.92,102.05,2,23,-21,8,0.5,5.71,3.44,29.24,-25.8,10.53,0.85,7.26,3,10,7,6.67,89.78,96.44
"NSH","2015-2016",41,211.25,42,328,-286,11.35,11.93,93.16,4,21,-17,16,1.14,5.96,2.84,17.88,-15.04,13.71,0.81,5.08,3,5,2,12.12,87.27,99.39
"NYI","2015-2016",41,190.98,38,319,-281,10.64,11.94,100.22,2,17,-15,10.53,0.63,5.34,2.65,20.51,-17.86,11.44,0.83,6.44,5,6,1,6.67,89.44,96.11
"NYR","2015-2016",41,204.9,38,340,-302,10.05,11.13,99.56,0,30,-30,0,0,8.78,1.83,24,-22.17,7.08,0.54,7.03,7,12,5,0,84.21,84.21
"OTT","2015-2016",41,202.45,35,368,-333,8.68,10.37,109.06,7,33,-26,17.5,2.07,9.78,2.77,27.98,-25.21,9.01,0.82,8.29,9,11,2,25.93,84.72,110.65
"PHI","2015-2016",41,242.55,50,390,-340,11.36,12.37,96.47,0,26,-26,0,0,6.43,3.49,26.49,-23,11.64,0.86,6.55,9,7,-2,0,87.19,87.19
"PIT","2015-2016",41,222.56,41,362,-321,10.17,11.05,97.59,4,18,-14,18.18,1.08,4.85,2.38,21.41,-19.03,10,0.64,5.77,6,6,0,12.9,91.13,104.04
"S.J","2015-2016",41,193.66,31,309,-278,9.12,9.6,95.73,3,16,-13,15.79,0.93,4.96,2.41,20.87,-18.46,10.35,0.75,6.47,9,8,-1,13.64,90.42,104.06
"STL","2015-2016",41,228.07,40,351,-311,10.23,10.52,92.34,1,20,-19,4.76,0.26,5.26,1.7,21.97,-20.27,7.18,0.45,5.78,6,5,-1,3.33,89.07,92.4
"T.B","2015-2016",41,215.08,31,381,-350,7.52,8.65,106.29,3,23,-20,11.54,0.84,6.42,2.14,23.67,-21.53,8.29,0.6,6.6,4,6,2,15,88.67,103.67
"TOR","2015-2016",41,255.5,54,342,-288,13.64,12.68,80.31,1,22,-21,4.35,0.23,5.17,3.84,21.34,-17.5,15.25,0.9,5.01,5,5,0,2.7,87.21,89.91
"VAN","2015-2016",41,216.81,38,388,-350,8.92,10.52,107.38,1,30,-29,3.23,0.28,8.3,3.77,28.61,-24.84,11.64,1.04,7.92,12,8,-4,3.12,87.18,90.3
"WPG","2015-2016",41,234.39,53,410,-357,11.45,13.57,104.95,4,30,-26,11.76,1.02,7.68,3.92,32.6,-28.68,10.73,1,8.35,7,6,-1,11.76,86.67,98.43
"WSH","2015-2016",41,228.47,31,389,-358,7.38,8.14,102.16,1,23,-22,4.17,0.26,6.04,1.67,25.08,-23.41,6.24,0.44,6.59,13,13,0,4.76,88.67,93.43
