"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2015-2016",41,245.49,7.14,89.05,4.55,92.09,6.84,92.05,-2.3,0.04,96.2,98.89,-2.69,13,198,35,5.28,80.49,14.23,0.06,48.37
"ARI","2015-2016",41,259,4,87.16,3.45,91.17,7.66,91.43,-4.21,-0.26,91.16,99.08,-7.93,12,217,50,4.3,77.78,17.92,0.05,51.25
"BOS","2015-2016",41,248.8,17.78,87.22,14.81,91.79,8.17,91.75,6.65,0.04,105,99.91,5.09,17,207,63,5.92,72.13,21.95,0.08,45.64
"BUF","2015-2016",41,188.04,7.41,89.11,6.67,92.14,7.67,90.33,-1,1.82,96.52,97.99,-1.48,5,179,38,2.25,80.63,17.12,0.03,44.14
"CAR","2015-2016",41,174.93,5.56,85.07,5,89.69,8.05,91.52,-3.05,-1.82,90.63,99.57,-8.94,19,150,31,9.5,75,15.5,0.11,46.5
"CBJ","2015-2016",41,250.84,0,86.6,0,91.3,7.79,90.8,-7.79,0.51,86.6,98.58,-11.98,13,195,51,5.02,75.29,19.69,0.06,44.02
"CGY","2015-2016",41,198.54,11.54,81.92,9.09,87.25,9.48,89.4,-0.39,-2.15,93.46,98.88,-5.42,15,179,35,6.55,78.17,15.28,0.08,38.43
"CHI","2015-2016",41,208.26,18.18,87.33,14.29,90.38,9.07,91.68,5.21,-1.31,105.51,100.76,4.76,8,193,45,3.25,78.46,18.29,0.04,32.93
"COL","2015-2016",41,220,10.71,85.22,9.09,89.76,7.55,90.73,1.55,-0.97,95.94,98.28,-2.34,16,196,42,6.3,77.17,16.54,0.08,37.4
"DAL","2015-2016",41,207.98,12.9,87.86,11.11,91.7,7.64,89.96,3.47,1.74,100.76,97.6,3.16,15,181,42,6.3,76.05,17.65,0.08,45.8
"DET","2015-2016",41,216.62,0,85.26,0,89.86,9,91.47,-9,-1.62,85.26,100.47,-15.21,12,190,39,4.98,78.84,16.18,0.06,40.66
"EDM","2015-2016",41,212.23,10.71,86.87,9.09,90.71,7.55,91.16,1.55,-0.45,97.58,98.71,-1.13,9,205,51,3.4,77.36,19.25,0.04,47.55
"FLA","2015-2016",41,220.15,5,88.04,4.35,91.51,8.96,91.46,-4.61,0.05,93.04,100.42,-7.37,17,206,54,6.14,74.37,19.49,0.08,50.18
"L.A","2015-2016",41,242.17,7.69,85.85,6.06,90.03,8.39,90.23,-2.33,-0.2,93.54,98.62,-5.08,15,207,47,5.58,76.95,17.47,0.07,45.72
"MIN","2015-2016",41,180.68,15,83.63,12.5,88.28,8.33,90.17,4.17,-1.89,98.63,98.5,0.12,7,161,37,3.41,78.54,18.05,0.04,46.34
"MTL","2015-2016",40,212.15,8,85.86,5.71,89.96,10.6,90.15,-4.89,-0.19,93.86,100.75,-6.88,10,185,37,4.31,79.74,15.95,0.05,48.28
"N.J","2015-2016",41,241.65,6.67,89.78,5.13,92.48,8.82,90.44,-3.69,2.04,96.44,99.26,-2.82,16,212,41,5.95,78.81,15.24,0.07,39.41
"NSH","2015-2016",41,211.25,12.12,87.27,10.26,90.83,7.28,92.19,2.97,-1.36,99.39,99.47,-0.08,8,174,41,3.59,78.03,18.39,0.04,39.91
"NYI","2015-2016",41,190.98,6.67,89.44,6.25,92.58,8.28,91.04,-2.03,1.53,96.11,99.32,-3.22,10,162,34,4.85,78.64,16.5,0.06,44.17
"NYR","2015-2016",41,204.9,0,84.21,0,88.14,5.9,90.51,-5.9,-2.37,84.21,96.42,-12.21,10,183,27,4.55,83.18,12.27,0.05,45.45
"OTT","2015-2016",41,202.45,25.93,84.72,22.58,88.89,8.94,90.58,13.65,-1.69,110.65,99.51,11.13,9,182,42,3.86,78.11,18.03,0.05,37.34
"PHI","2015-2016",41,242.55,0,87.19,0,90.71,7.27,90.54,-7.27,0.17,87.19,97.81,-10.62,17,208,40,6.42,78.49,15.09,0.08,49.06
"PIT","2015-2016",41,222.56,12.9,91.13,10.53,93.66,6.26,92.46,4.26,1.2,104.04,98.72,5.31,12,201,43,4.69,78.52,16.8,0.06,41.8
"S.J","2015-2016",41,193.66,13.64,90.42,10.34,93.39,8.31,91.38,2.03,2.01,104.06,99.69,4.37,13,163,38,6.07,76.17,17.76,0.07,41.59
"STL","2015-2016",41,228.07,3.33,89.07,2.86,92.48,4.86,91.74,-2,0.74,92.4,96.6,-4.19,14,194,37,5.71,79.18,15.1,0.07,42.04
"T.B","2015-2016",41,215.08,15,88.67,10.34,92.31,7.38,92.08,2.97,0.22,103.67,99.46,4.21,13,181,44,5.46,76.05,18.49,0.07,38.66
"TOR","2015-2016",41,255.5,2.7,87.21,2.13,91.13,8.17,91.4,-6.04,-0.27,89.91,99.57,-9.65,21,200,59,7.5,71.43,21.07,0.1,45
"VAN","2015-2016",41,216.81,3.12,87.18,2.78,90.2,10.47,90.65,-7.69,-0.45,90.3,101.12,-10.82,9,209,39,3.5,81.32,15.18,0.04,40.86
"WPG","2015-2016",41,234.39,11.76,86.67,9.76,90.32,9.56,89.48,0.2,0.84,98.43,99.04,-0.61,17,204,46,6.37,76.4,17.23,0.08,40.45
"WSH","2015-2016",41,228.47,4.76,88.67,3.57,92.04,5.96,91.32,-2.39,0.72,93.43,97.29,-3.85,16,200,36,6.35,79.37,14.29,0.07,48.02
