"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2015-2016",41,245.49,13,35,198,5.28,80.49,14.23,0.06,119,127,48.37,21,27,5.13,6.6,50,16,34,12.22,3.91
"ARI","2015-2016",41,259,12,50,217,4.3,77.78,17.92,0.05,143,136,51.25,29,28,6.72,6.49,42,21,21,9.73,4.86
"BOS","2015-2016",41,248.8,17,63,207,5.92,72.13,21.95,0.08,131,156,45.64,13,23,3.14,5.55,49,20,29,11.82,4.82
"BUF","2015-2016",41,188.04,5,38,179,2.25,80.63,17.12,0.03,98,124,44.14,16,20,5.11,6.38,30,11,19,9.57,3.51
"CAR","2015-2016",41,174.93,19,31,150,9.5,75,15.5,0.11,93,107,46.5,10,16,3.43,5.49,28,20,8,9.6,6.86
"CBJ","2015-2016",41,250.84,13,51,195,5.02,75.29,19.69,0.06,114,145,44.02,19,30,4.54,7.18,64,15,49,15.31,3.59
"CGY","2015-2016",41,198.54,15,35,179,6.55,78.17,15.28,0.08,88,141,38.43,23,22,6.95,6.65,17,7,10,5.14,2.12
"CHI","2015-2016",41,208.26,8,45,193,3.25,78.46,18.29,0.04,81,165,32.93,19,30,5.47,8.64,18,6,12,5.19,1.73
"COL","2015-2016",41,220,16,42,196,6.3,77.17,16.54,0.08,95,159,37.4,25,18,6.82,4.91,47,12,35,12.82,3.27
"DAL","2015-2016",41,207.98,15,42,181,6.3,76.05,17.65,0.08,109,129,45.8,18,19,5.19,5.48,32,26,6,9.23,7.5
"DET","2015-2016",41,216.62,12,39,190,4.98,78.84,16.18,0.06,98,143,40.66,22,18,6.09,4.99,54,18,36,14.96,4.99
"EDM","2015-2016",41,212.23,9,51,205,3.4,77.36,19.25,0.04,126,139,47.55,31,23,8.76,6.5,13,11,2,3.68,3.11
"FLA","2015-2016",41,220.15,17,54,206,6.14,74.37,19.49,0.08,139,138,50.18,31,28,8.45,7.63,22,14,8,6,3.82
"L.A","2015-2016",41,242.17,15,47,207,5.58,76.95,17.47,0.07,123,146,45.72,15,22,3.72,5.45,68,18,50,16.85,4.46
"MIN","2015-2016",41,180.68,7,37,161,3.41,78.54,18.05,0.04,95,110,46.34,16,21,5.31,6.97,25,16,9,8.3,5.31
"MTL","2015-2016",40,212.15,10,37,185,4.31,79.74,15.95,0.05,112,120,48.28,22,21,6.22,5.94,40,22,18,11.31,6.22
"N.J","2015-2016",41,241.65,16,41,212,5.95,78.81,15.24,0.07,106,163,39.41,24,23,5.96,5.71,44,23,21,10.92,5.71
"NSH","2015-2016",41,211.25,8,41,174,3.59,78.03,18.39,0.04,89,134,39.91,21,26,5.96,7.38,26,11,15,7.38,3.12
"NYI","2015-2016",41,190.98,10,34,162,4.85,78.64,16.5,0.06,91,115,44.17,23,19,7.23,5.97,49,20,29,15.39,6.28
"NYR","2015-2016",41,204.9,10,27,183,4.55,83.18,12.27,0.05,100,120,45.45,18,22,5.27,6.44,37,11,26,10.83,3.22
"OTT","2015-2016",41,202.45,9,42,182,3.86,78.11,18.03,0.05,87,146,37.34,22,23,6.52,6.82,45,12,33,13.34,3.56
"PHI","2015-2016",41,242.55,17,40,208,6.42,78.49,15.09,0.08,130,135,49.06,27,17,6.68,4.21,39,21,18,9.65,5.19
"PIT","2015-2016",41,222.56,12,43,201,4.69,78.52,16.8,0.06,107,149,41.8,17,23,4.58,6.2,30,18,12,8.09,4.85
"S.J","2015-2016",41,193.66,13,38,163,6.07,76.17,17.76,0.07,89,125,41.59,13,18,4.03,5.58,40,15,25,12.39,4.65
"STL","2015-2016",41,228.07,14,37,194,5.71,79.18,15.1,0.07,103,142,42.04,23,27,6.05,7.1,49,17,32,12.89,4.47
"T.B","2015-2016",41,215.08,13,44,181,5.46,76.05,18.49,0.07,92,146,38.66,17,16,4.74,4.46,39,17,22,10.88,4.74
"TOR","2015-2016",41,255.5,21,59,200,7.5,71.43,21.07,0.1,126,154,45,26,27,6.11,6.34,66,19,47,15.5,4.46
"VAN","2015-2016",41,216.81,9,39,209,3.5,81.32,15.18,0.04,105,152,40.86,20,28,5.53,7.75,30,22,8,8.3,6.09
"WPG","2015-2016",41,234.39,17,46,204,6.37,76.4,17.23,0.08,108,159,40.45,22,31,5.63,7.94,66,16,50,16.89,4.1
"WSH","2015-2016",41,228.47,16,36,200,6.35,79.37,14.29,0.07,121,131,48.02,14,16,3.68,4.2,36,23,13,9.45,6.04
