"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2015-2016",41,244.24,8.72,95.57,5.53,97.1,6.56,94.05,-1.02,3.05,104.29,100.61,3.68,14,204,39,5.45,79.38,15.18,0.06,52.14
"ARI","2015-2016",41,245.77,4.84,89,3.37,91.87,6.49,95.02,-3.13,-3.15,93.84,101.52,-7.68,17,199,42,6.59,77.13,16.28,0.08,54.65
"BOS","2015-2016",41,201.32,3.9,88.84,2.53,92.45,5.68,94.41,-3.15,-1.97,92.74,100.09,-7.35,15,177,37,6.55,77.29,16.16,0.08,49.34
"BUF","2015-2016",41,172.74,14.39,92.99,10,94.52,7.34,95.06,2.66,-0.53,107.39,102.39,4.99,13,139,40,6.77,72.4,20.83,0.09,48.96
"CAR","2015-2016",41,165.64,14.51,93.4,11.55,95.33,6.64,93.68,4.91,1.65,107.91,100.32,7.6,11,130,29,6.47,76.47,17.06,0.08,51.18
"CBJ","2015-2016",41,212.59,5.9,93.1,4.17,94.69,8.4,93.42,-4.22,1.27,99,101.82,-2.82,8,180,46,3.42,76.92,19.66,0.04,50.85
"CGY","2015-2016",41,160.47,25.27,89.65,19.06,92.85,8.48,93.93,10.58,-1.07,114.92,102.41,12.51,8,132,41,4.42,72.93,22.65,0.06,43.09
"CHI","2015-2016",41,168.17,10.98,93.97,8.66,95.52,6.07,93.64,2.58,1.88,104.94,99.71,5.23,8,145,23,4.55,82.39,13.07,0.05,47.16
"COL","2015-2016",41,200.35,8.07,92.62,6.43,94.39,5.91,94.21,0.52,0.18,100.69,100.12,0.57,14,166,34,6.54,77.57,15.89,0.08,42.52
"DAL","2015-2016",41,196.47,13.64,90.83,9.29,93.83,7.75,94.27,1.54,-0.44,104.47,102.02,2.44,11,164,34,5.26,78.47,16.27,0.06,43.54
"DET","2015-2016",41,221.63,7.54,92.92,5.32,94.9,8.41,93.77,-3.09,1.13,100.46,102.18,-1.72,9,184,57,3.6,73.6,22.8,0.05,52
"EDM","2015-2016",41,223.6,9.68,92.66,7.07,94.6,8.67,93.97,-1.61,0.63,102.34,102.64,-0.3,14,202,33,5.62,81.12,13.25,0.06,49
"FLA","2015-2016",41,209.02,9.02,90.27,5.26,91.97,5.96,94.2,-0.7,-2.23,99.29,100.17,-0.87,13,189,41,5.35,77.78,16.87,0.06,46.5
"L.A","2015-2016",41,220.65,8.04,91.8,6.2,94.32,5.87,94.07,0.33,0.26,99.84,99.93,-0.09,13,188,42,5.35,77.37,17.28,0.06,45.68
"MIN","2015-2016",41,153.59,14.41,92.26,10.42,94.24,4.93,94.38,5.49,-0.15,106.68,99.31,7.37,7,137,24,4.17,81.55,14.29,0.05,54.76
"MTL","2015-2016",41,185.74,13.75,91.11,11.32,93.8,7.11,93.53,4.21,0.27,104.86,100.64,4.22,6,161,41,2.88,77.4,19.71,0.04,52.4
"N.J","2015-2016",41,207.84,7.06,91.26,5.44,93.73,11.91,93.58,-6.48,0.15,98.32,105.49,-7.17,14,164,37,6.51,76.28,17.21,0.08,45.58
"NSH","2015-2016",41,195.07,4.51,89.54,3.57,92.4,4.44,93.95,-0.86,-1.55,94.05,98.38,-4.33,9,154,37,4.5,77,18.5,0.06,46.5
"NYI","2015-2016",41,185.15,5.77,93.38,4.88,94.56,8.12,94.35,-3.24,0.21,99.16,102.47,-3.31,13,171,38,5.86,77.03,17.12,0.07,45.5
"NYR","2015-2016",41,197.83,4.31,91.63,3.37,94.07,9.96,93.51,-6.59,0.56,95.94,103.47,-7.54,12,152,31,6.15,77.95,15.9,0.07,49.23
"OTT","2015-2016",40,183.75,12.49,89.65,8.41,91.86,6.09,94.62,2.32,-2.76,102.14,100.7,1.44,15,169,45,6.55,73.8,19.65,0.08,49.78
"PHI","2015-2016",41,197.36,8.37,90.17,7.26,93,6.92,93.75,0.34,-0.75,98.55,100.68,-2.13,7,169,44,3.18,76.82,20,0.04,47.73
"PIT","2015-2016",41,188.21,10.18,92.23,7.99,94.08,6.01,94.52,1.98,-0.44,102.41,100.53,1.88,11,160,33,5.39,78.43,16.18,0.06,43.14
"S.J","2015-2016",41,187.97,12.6,90.46,9.04,92.84,6.82,92.89,2.23,-0.04,103.05,99.7,3.35,5,169,41,2.33,78.6,19.07,0.03,45.12
"STL","2015-2016",41,229.13,8.62,94.8,6.02,96.19,7.33,93.93,-1.31,2.26,103.42,101.25,2.17,11,199,48,4.26,77.13,18.6,0.05,47.67
"T.B","2015-2016",41,221.32,12.4,94.39,10.2,95.96,5.98,95.2,4.22,0.76,106.79,101.17,5.61,11,180,45,4.66,76.27,19.07,0.06,45.76
"TOR","2015-2016",41,205.07,4.47,89.89,3.52,92.73,5.73,93.96,-2.21,-1.23,94.36,99.69,-5.33,15,177,47,6.28,74.06,19.67,0.08,49.79
"VAN","2015-2016",41,195.68,16.89,93.78,9.8,95.02,7.25,94.41,2.54,0.6,110.66,101.67,9,9,176,31,4.17,81.48,14.35,0.05,38.89
"WPG","2015-2016",41,224.7,9.33,90.37,7.13,92.74,8.58,93.26,-1.45,-0.53,99.7,101.84,-2.14,12,206,46,4.55,78.03,17.42,0.06,47.73
"WSH","2015-2016",41,200.78,3.68,93.18,2.94,95.64,5.85,94.48,-2.91,1.15,96.85,100.34,-3.48,7,171,47,3.11,76,20.89,0.04,48
