"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2015-2016",41,244.24,70,402,-332,14.83,17.2,98.76,4,13,-9,23.53,0.98,3.19,4.9,27.13,-22.23,15.3,1.2,6.66,5,7,2,9.76,93.16,102.91
"ARI","2015-2016",41,245.77,64,390,-326,14.1,15.62,95.21,2,36,-34,5.26,0.49,8.79,3.89,21.94,-18.05,15.06,0.95,5.36,5,9,4,5.26,82.69,87.96
"BOS","2015-2016",41,201.32,47,298,-251,13.62,14.01,88.81,1,25,-24,3.85,0.3,7.45,2.46,18.3,-15.84,11.85,0.73,5.45,2,6,4,3.85,82.27,86.12
"BUF","2015-2016",41,172.74,38,261,-223,12.71,13.2,90.66,4,15,-11,21.05,1.39,5.21,2.8,15,-12.2,15.73,0.97,5.21,8,6,-2,16.67,89.58,106.25
"CAR","2015-2016",41,165.64,22,213,-191,9.36,7.97,77.16,2,12,-10,14.29,0.72,4.35,1.32,16.61,-15.29,7.36,0.48,6.02,8,10,2,14.29,88.99,103.28
"CBJ","2015-2016",41,212.59,44,356,-312,11,12.42,100.48,2,21,-19,8.7,0.56,5.93,3.97,25.65,-21.68,13.4,1.12,7.24,5,9,4,6.67,89.06,95.73
"CGY","2015-2016",41,160.47,43,256,-213,14.38,16.08,95.72,8,23,-15,25.81,2.99,8.6,3.66,18.42,-14.76,16.58,1.37,6.89,1,8,7,27.59,83.21,110.8
"CHI","2015-2016",41,168.17,36,307,-271,10.5,12.84,109.53,3,16,-13,15.79,1.07,5.71,2.17,22.89,-20.72,8.66,0.77,8.17,4,7,3,12,90.42,102.42
"COL","2015-2016",41,200.35,59,335,-276,14.97,17.67,100.32,4,21,-17,16,1.2,6.29,3.71,21.62,-17.91,14.65,1.11,6.47,3,5,2,9.09,88.59,97.68
"DAL","2015-2016",41,196.47,43,333,-290,11.44,13.13,101.69,4,23,-19,14.81,1.22,7.02,3.45,21.91,-18.46,13.6,1.05,6.69,4,12,8,14.81,85.8,100.62
"DET","2015-2016",41,221.63,34,355,-321,8.74,9.2,96.11,2,20,-18,9.09,0.54,5.41,3.04,24.4,-21.36,11.08,0.82,6.61,6,10,4,9.09,88.76,97.85
"EDM","2015-2016",41,223.6,32,379,-347,7.79,8.59,101.7,2,22,-20,8.33,0.54,5.9,2.53,25.9,-23.37,8.9,0.68,6.95,6,7,1,10,88.94,98.94
"FLA","2015-2016",41,209.02,36,317,-281,10.2,10.33,91,2,30,-28,6.25,0.57,8.61,2.22,22.07,-19.85,9.14,0.64,6.34,4,7,3,11.11,85.37,96.48
