"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2015-2016",41,244.24,9.76,93.16,6.45,95.61,7.9,90.83,-1.45,4.77,102.91,98.74,4.18,14,204,39,5.45,79.38,15.18,0.06,52.14
"ARI","2015-2016",41,245.77,5.26,82.69,3.85,87.32,7.48,92.27,-3.63,-4.95,87.96,99.76,-11.8,17,199,42,6.59,77.13,16.28,0.08,54.65
"BOS","2015-2016",41,201.32,3.85,82.27,2.63,88.32,6.47,91.45,-3.84,-3.13,86.12,97.92,-11.81,15,177,37,6.55,77.29,16.16,0.08,49.34
"BUF","2015-2016",41,172.74,16.67,89.58,12.12,92.19,8.48,92.19,3.64,0,106.25,100.67,5.58,13,139,40,6.77,72.4,20.83,0.09,48.96
"CAR","2015-2016",41,165.64,14.29,88.99,11.76,92.45,7.76,89.55,4,2.9,103.28,97.32,5.96,11,130,29,6.47,76.47,17.06,0.08,51.18
"CBJ","2015-2016",41,212.59,6.67,89.06,5,91.73,9.93,89.9,-4.93,1.83,95.73,99.83,-4.1,8,180,46,3.42,76.92,19.66,0.04,50.85
"CGY","2015-2016",41,160.47,27.59,83.21,21.62,88.38,9.89,90.7,11.73,-2.31,110.8,100.59,10.21,8,132,41,4.42,72.93,22.65,0.06,43.09
"CHI","2015-2016",41,168.17,12,90.42,10,93.04,7.23,90.05,2.77,3,102.42,97.28,5.14,8,145,23,4.55,82.39,13.07,0.05,47.16
"COL","2015-2016",41,200.35,9.09,88.59,7.55,91.39,7,91.14,0.55,0.25,97.68,98.14,-0.46,14,166,34,6.54,77.57,15.89,0.08,42.52
"DAL","2015-2016",41,196.47,14.81,85.8,10.53,90.53,9.08,90.98,1.45,-0.45,100.62,100.06,0.55,11,164,34,5.26,78.47,16.27,0.06,43.54
"DET","2015-2016",41,221.63,9.09,88.76,6.67,92.03,10.13,90.28,-3.47,1.75,97.85,100.41,-2.56,9,184,57,3.6,73.6,22.8,0.05,52
"EDM","2015-2016",41,223.6,10,88.94,8,91.97,10.12,90.55,-2.12,1.42,98.94,100.67,-1.72,14,202,33,5.62,81.12,13.25,0.06,49
"FLA","2015-2016",41,209.02,11.11,85.37,6.9,88.19,7.66,91.31,-0.76,-3.12,96.48,98.97,-2.49,13,189,41,5.35,77.78,16.87,0.06,46.5
"L.A","2015-2016",41,220.65,9.52,86.96,8,91.08,6.88,90.75,1.12,0.32,96.48,97.63,-1.15,13,188,42,5.35,77.37,17.28,0.06,45.68
"MIN","2015-2016",41,153.59,15.79,88.73,12,91.71,5.6,91.52,6.4,0.19,104.52,97.12,7.4,7,137,24,4.17,81.55,14.29,0.05,54.76
"MTL","2015-2016",41,185.74,15.79,87.18,13.64,91.07,8.43,89.62,5.2,1.45,102.97,98.06,4.91,6,161,41,2.88,77.4,19.71,0.04,52.4
"N.J","2015-2016",41,207.84,8.33,86.58,6.67,90.34,12.53,90.04,-5.87,0.29,94.91,102.58,-7.67,14,164,37,6.51,76.28,17.21,0.08,45.58
"NSH","2015-2016",41,195.07,5,83.8,4.17,88.32,5.42,90.6,-1.25,-2.28,88.8,96.02,-7.22,9,154,37,4.5,77,18.5,0.06,46.5
"NYI","2015-2016",41,185.15,6.38,89.38,5.66,91.37,9.72,91.22,-4.06,0.15,95.76,100.94,-5.18,13,171,38,5.86,77.03,17.12,0.07,45.5
"NYR","2015-2016",41,197.83,5.26,87.42,4.35,91.16,11.7,90.28,-7.35,0.88,92.68,101.98,-9.3,12,152,31,6.15,77.95,15.9,0.07,49.23
"OTT","2015-2016",40,183.75,14.29,83.82,10.26,87.56,7.21,91.68,3.05,-4.12,98.1,98.89,-0.78,15,169,45,6.55,73.8,19.65,0.08,49.78
"PHI","2015-2016",41,197.36,9.68,85.09,8.82,89.57,8.47,90.62,0.35,-1.05,94.77,99.09,-4.32,7,169,44,3.18,76.82,20,0.04,47.73
"PIT","2015-2016",41,188.21,11.11,87.35,9.09,90.58,7,91.53,2.09,-0.95,98.46,98.53,-0.07,11,160,33,5.39,78.43,16.18,0.06,43.14
"S.J","2015-2016",41,187.97,15,84.8,11.54,88.65,8.12,89.46,3.42,-0.81,99.8,97.57,2.22,5,169,41,2.33,78.6,19.07,0.03,45.12
"STL","2015-2016",41,229.13,9.68,91.16,6.98,93.56,8.3,90.41,-1.33,3.15,100.84,98.72,2.12,11,199,48,4.26,77.13,18.6,0.05,47.67
"T.B","2015-2016",41,221.32,14.81,91.1,12.9,93.66,7.13,92.74,5.77,0.92,105.91,99.86,6.05,11,180,45,4.66,76.27,19.07,0.06,45.76
"TOR","2015-2016",41,205.07,4.88,84.15,4,88.74,6.48,90.5,-2.48,-1.75,89.02,96.98,-7.95,15,177,47,6.28,74.06,19.67,0.08,49.79
"VAN","2015-2016",41,195.68,18.75,89.6,11.11,91.67,8.48,91.03,2.63,0.63,108.35,99.51,8.83,9,176,31,4.17,81.48,14.35,0.05,38.89
"WPG","2015-2016",41,224.7,10.26,85.32,8,89.08,10.04,89.91,-2.04,-0.83,95.58,99.95,-4.37,12,206,46,4.55,78.03,17.42,0.06,47.73
"WSH","2015-2016",41,200.78,4,89.51,3.33,93.33,6.5,91.32,-3.17,2.01,93.51,97.82,-4.31,7,171,47,3.11,76,20.89,0.04,48
