"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2015-2016",41,195.32,177,39,10,78.32,4.42,17.26,0.95,129,97,57.08,24,8,7.37,2.46,18,46,-28,5.53,14.13
"ARI","2015-2016",41,235.63,195,63,10,72.76,3.73,23.51,0.95,149,119,55.6,30,14,7.64,3.56,25,45,-20,6.37,11.46
"BOS","2015-2016",41,185.37,155,35,14,75.98,6.86,17.16,0.92,105,99,51.47,23,4,7.44,1.29,15,35,-20,4.86,11.33
"BUF","2015-2016",41,202.76,157,44,13,73.36,6.07,20.56,0.92,112,102,52.34,30,7,8.88,2.07,16,45,-29,4.73,13.32
"CAR","2015-2016",41,215.7,192,33,8,82.4,3.43,14.16,0.96,132,101,56.65,26,9,7.23,2.5,18,32,-14,5.01,8.9
"CBJ","2015-2016",41,192.9,181,38,6,80.44,2.67,16.89,0.97,107,118,47.56,26,10,8.09,3.11,20,41,-21,6.22,12.75
"CGY","2015-2016",41,226.67,210,41,8,81.08,3.09,15.83,0.96,121,138,46.72,24,8,6.35,2.12,28,58,-30,7.41,15.35
"CHI","2015-2016",41,192.65,153,43,7,75.37,3.45,21.18,0.96,115,88,56.65,30,7,9.34,2.18,11,34,-23,3.43,10.59
"COL","2015-2016",41,213.57,195,27,11,83.69,4.72,11.59,0.95,126,107,54.08,35,9,9.83,2.53,20,46,-26,5.62,12.92
"DAL","2015-2016",41,187.44,176,52,6,75.21,2.56,22.22,0.97,111,123,47.44,30,3,9.6,0.96,8,17,-9,2.56,5.44
"DET","2015-2016",41,203.75,175,26,13,81.78,6.07,12.15,0.93,118,96,55.14,21,3,6.18,0.88,21,41,-20,6.18,12.07
"EDM","2015-2016",41,183.05,143,35,11,75.66,5.82,18.52,0.93,88,101,46.56,28,14,9.18,4.59,5,46,-41,1.64,15.08
"FLA","2015-2016",41,204.47,162,41,15,74.31,6.88,18.81,0.92,107,111,49.08,25,6,7.34,1.76,18,39,-21,5.28,11.44
"L.A","2015-2016",41,174.67,161,29,10,80.5,5,14.5,0.94,121,79,60.5,18,6,6.18,2.06,20,37,-17,6.87,12.71
"MIN","2015-2016",41,210.67,199,35,12,80.89,4.88,14.23,0.94,119,127,48.37,24,6,6.84,1.71,16,36,-20,4.56,10.25
"MTL","2015-2016",40,194.8,147,46,15,70.67,7.21,22.12,0.91,117,91,56.25,22,5,6.78,1.54,11,37,-26,3.39,11.4
"N.J","2015-2016",41,199.43,162,50,17,70.74,7.42,21.83,0.91,119,110,51.97,27,17,8.12,5.11,18,38,-20,5.42,11.43
"NSH","2015-2016",41,205.24,177,27,10,82.71,4.67,12.62,0.95,93,121,43.46,19,5,5.55,1.46,15,36,-21,4.39,10.52
"NYI","2015-2016",41,178.18,154,23,5,84.62,2.75,12.64,0.97,88,94,48.35,19,3,6.4,1.01,17,37,-20,5.72,12.46
"NYR","2015-2016",41,169.25,138,33,18,73.02,9.52,17.46,0.88,101,88,53.44,23,6,8.15,2.13,12,30,-18,4.25,10.64
"OTT","2015-2016",41,179.15,150,51,11,70.75,5.19,24.06,0.93,96,116,45.28,25,7,8.37,2.34,8,31,-23,2.68,10.38
"PHI","2015-2016",41,227.95,201,59,8,75,2.99,22.01,0.96,145,123,54.1,23,8,6.05,2.11,22,49,-27,5.79,12.9
"PIT","2015-2016",41,205.55,174,44,10,76.32,4.39,19.3,0.95,117,111,51.32,22,12,6.42,3.5,17,44,-27,4.96,12.84
"S.J","2015-2016",41,203.68,170,49,12,73.59,5.19,21.21,0.93,132,99,57.14,23,5,6.78,1.47,16,20,-4,4.71,5.89
"STL","2015-2016",41,160.89,133,30,7,78.24,4.12,17.65,0.95,101,69,59.41,28,4,10.44,1.49,16,35,-19,5.97,13.05
"T.B","2015-2016",41,222.79,184,31,10,81.78,4.44,13.78,0.95,113,112,50.22,34,11,9.16,2.96,19,45,-26,5.12,12.12
"TOR","2015-2016",41,221.84,193,24,14,83.55,6.06,10.39,0.93,135,96,58.44,38,10,10.28,2.7,22,42,-20,5.95,11.36
"VAN","2015-2016",41,212.26,166,42,15,74.44,6.73,18.83,0.92,105,118,47.09,26,5,7.35,1.41,20,37,-17,5.65,10.46
"WPG","2015-2016",41,202.78,166,43,12,75.11,5.43,19.46,0.93,115,106,52.04,27,4,7.99,1.18,20,36,-16,5.92,10.65
"WSH","2015-2016",41,193.4,168,40,14,75.68,6.31,18.02,0.92,114,108,51.35,26,5,8.07,1.55,12,32,-20,3.72,9.93
