Away True Probability (Close),Away True Line (Close),,Away Implied Probability (Close),Away Line (Close),Away True Probability (Open),Away True Line (Open),,Away Implied Probability (Open),Away Line (Open),Away,Away Score,-,Date,-,Home Score,Home,Home Line (Open),Home Implied Probability (Open),,Home True Line (Open),Home True Probability (Open),Home Line (Close),Home Implied Probability (Close),,Home True Line (Close),Home True Probability (Close)
47.16%,+112,102.44%,48.31%,+107,48.84%,+105,1.023809524,50.00%,+100,Toronto Maple Leafs,7,,4-Oct,,2,Winnipeg Jets,-110,52.38%,102.38%, -105,51.16%,-118,54.13%,102.44%, -112,52.84%
37.25%,+168,102.45%,38.17%,+162,36.67%,+173,1.025062657,37.59%,+166,St. Louis Blues,5,OT,4-Oct,,4,Pittsburgh Penguins,-185,64.91%,102.51%, -173,63.33%,-180,64.29%,102.45%, -168,62.75%
41.00%,+144,102.49%,42.02%,+138,41.16%,+143,102.51%,42.19%,+137,Calgary Flames,0,,4-Oct,,3,Edmonton Oilers,-152,60.32%,102.51%, -143,58.84%,-153,60.47%,102.49%, -144,59.00%
41.90%,+139,102.43%,42.92%,+133,39.98%,+150,102.52%,40.98%,+144,Philadelphia Flyers,5,,4-Oct,,3,San Jose Sharks,-160,61.54%,102.52%, -150,60.02%,-147,59.51%,102.43%, -139,58.10%
48.04%,+108,102.53%,49.26%,+103,44.80%,+123,102.39%,45.87%,+118,Nashville Predators,3,,5-Oct,,4,Boston Bruins,-130,56.52%,102.39%, -123,55.20%,-114,53.27%,102.53%, -108,51.96%
53.79%, -116,102.55%,55.16%,-123,54.02%, -117,102.11%,55.16%, -123,Montreal Canadiens,3,SO,5-Oct,,2,Buffalo Sabres,+113,46.95%,102.11%,+117,45.98%,+111,47.39%,102.55%,+116,46.21%
34.88%,+187,102.38%,35.71%,+180,35.74%,+180,102.50%,36.63%,+173,Colorado Avalanche,4,,5-Oct,,2,New York Rangers,-193,65.87%,102.50%, -180,64.26%,-200,66.67%,102.38%, -187,65.12%
55.67%, -126,102.54%,57.08%,-133,57.15%, -133,102.37%,58.51%, -141,Washington Capitals,5,SO,5-Oct,,4,Ottawa Senators,+128,43.86%,102.37%,+133,42.85%,+120,45.45%,102.54%,+126,44.33%
56.24%, -129,102.47%,57.63%,-136,56.24%, -129,102.47%,57.63%, -136,Minnesota Wild,2,,5-Oct,,4,Detroit Red Wings,+123,44.84%,102.47%,+129,43.76%,+123,44.84%,102.47%,+129,43.76%
44.14%,+127,102.51%,45.25%,+121,44.60%,+124,102.37%,45.66%,+119,Pittsburgh Penguins,1,,5-Oct,,10,Chicago Blackhawks,-131,56.71%,102.37%, -124,55.40%,-134,57.26%,102.51%, -127,55.86%
39.51%,+153,102.46%,40.49%,+147,37.25%,+168,102.45%,38.17%,+162,Arizona Coyotes,4,,5-Oct,,5,Anaheim Ducks,-180,64.29%,102.45%, -168,62.75%,-163,61.98%,102.46%, -153,60.49%
40.67%,+146,102.45%,41.67%,+140,39.51%,+153,102.46%,40.49%,+147,Philadelphia Flyers,0,,5-Oct,,2,Los Angeles Kings,-163,61.98%,102.46%, -153,60.49%,-155,60.78%,102.45%, -146,59.33%
41.90%,+139,102.43%,42.92%,+133,40.67%,+146,102.45%,41.67%,+140,New York Islanders,0,,6-Oct,,5,Columbus Blue Jackets,-155,60.78%,102.45%, -146,59.33%,-147,59.51%,102.43%, -139,58.10%
